Clock name,Data type,Species,Predicts,Training target,Unit,Tissue,Platform,Population,Model type,N features,Year,Citations,Citations date,Last author,Journal,DOI,Notes,Preprocess,Postprocess,Reference values,Verified
altumage,DNA methylation,Homo sapiens,chronological age,chronological age,years,multi-tissue,Illumina 27K | Illumina 450K,all ages,deep neural network,20318,2022,145,2026-07-05,Ritambhara Singh,npj Aging,https://doi.org/10.1038/s41514-022-00085-y,"Pan-tissue chronological-age predictor using a five-hidden-layer neural network and 20,318 CpGs shared across the 27K, 450K and EPIC manifests; the actual training data came from 27K and 450K datasets.",scale,,True,By authors
bitage,transcriptomics,Caenorhabditis elegans,biological age,biological age,hours,whole organism,RNA-seq,Caenorhabditis elegans,elastic net regression,576,2021,173,2026-07-05,Björn Schumacher,Aging Cell,https://doi.org/10.1111/acel.13320,Binarized whole-organism C. elegans RNA-seq clock that estimates temporally rescaled biological age; the released linear predictor sums coefficients for genes binarized on plus a 103.55-hour intercept.,binarize,,,By authors
camilloh3k27ac,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,1275,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K27ac ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camilloh3k27me3,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,922,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K27me3 ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camilloh3k36me3,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,870,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K36me3 ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camilloh3k4me1,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,892,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K4me1 ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camilloh3k4me3,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,1240,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K4me3 ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camilloh3k9ac,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,102,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K9ac ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camilloh3k9me3,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,341,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,Pan-tissue chronological-age predictor trained on gene-level H3K9me3 ChIP-seq enrichment; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.,,,,By authors
camillopanhistone,histone modification,Homo sapiens,chronological age,chronological age,years,multi-tissue,ChIP-seq,all ages,PCA + elastic net + ARD regression,3739,2025,4,2026-07-05,Ritambhara Singh,Science Advances,https://doi.org/10.1126/sciadv.adk9373,"Pan-tissue, pan-histone chronological-age predictor trained on gene-level ChIP-seq enrichment from seven histone modifications; ElasticNet feature selection is followed by truncated-SVD PCA and automatic relevance determination regression.",,,,By authors
